"","gene","baseMean.x","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","baseMean.y","log2FoldChange.y","lfcSE.y","stat.y","pvalue.y","padj.y","isotig","ContigName","ContigLength","topnrMatch","topnrEvalue","topnrAlignmentLength","topnrPercMatch","nobadwordnrMatch","nobadwordnrEvalue","nobadwordnrAlignLength","nobadwordnrPercentMatch","Uniprotmatch","X._identity","evalue","ID","Description","KEGG","KEGGKO","PFAM","GO","GOCC","GOBP","GOMF","Keywords"
"11","isogroup00977_Past",9564.19987356818,6.27329057748396,0.813903865617775,7.70765546459514,1.28150150370879e-14,3.95634464235913e-12,9564.19987356818,6.00639838340691,0.920857448000159,6.52261476133043,6.90921605038953e-11,3.76784060551802e-08,"isotig02288_Past","isotig02288_Past",645,"No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_Uniprotmatch","No_%_identity","No_evalue","No_ID","No_Description","No_KEGG","No_KEGGKO","No_PFAM","No_GO","No_GOCC","No_GOBP","No_GOMF","No_keywords"
"12","isogroup00977_Past",9564.19987356818,6.27329057748396,0.813903865617775,7.70765546459514,1.28150150370879e-14,3.95634464235913e-12,9564.19987356818,6.00639838340691,0.920857448000159,6.52261476133043,6.90921605038953e-11,3.76784060551802e-08,"isotig02289_Past","isotig02289_Past",552,"gb|TDN20329.1| hypothetical protein CEE78_11940 [Lactobacillus crispatus]","2.36E-05","34","0.76","gb|TDN20329.1| hypothetical protein CEE78_11940 [Lactobacillus crispatus]","2.36E-05","34","0.76","A0A6T9YAR8","94.118","1.39E-11","No_ID","No_description","No_KEGG","No_KEGGKO","Pfam","No_GOcodes","No_GOBP","No_GOMF","No_GOCC","No_keywords"
"13","isogroup15089_Past",749.023673342205,8.85716441475713,1.18966909247686,7.44506558232657,9.68962709987983e-14,2.74216446926599e-11,749.023673342205,8.76194829241715,1.34999705672166,6.49034621875008,8.56393410209547e-11,3.80452772485591e-08,"isotig16821_Past","isotig16821_Past",443,"gb|KAE9521319.1| hypothetical protein AGLY_018283 [Aphis glycines]","1.07E-08","51","0.65","ref|XP_023202398.1| serine/arginine repetitive matrix protein 1-like [Xiphophorus maculatus]","3.33E-07","53","0.58","T1NUM4","83.333","1.78E-09","T1NUM4_TRIUA","Uncharacterized protein {ECO:0000313|EnsemblPlants:TRIUR3_34547-P1}","No_KEGG","No_KEGGKO","Pfam","No_GOcodes","No_GOBP","No_GOMF","No_GOCC","Reference proteome {ECO:0000313|Proteomes:UP000015106}.;"
"14","isogroup06755_Past",350.46753762419,10.2892318866396,1.48617596824127,6.92329314059344,4.41263323031227e-12,1.15271557308773e-09,350.46753762419,9.18063551278886,1.65790373447264,5.53749612953801,3.06826472943282e-08,8.38816372954172e-06,"isotig08487_Past","isotig08487_Past",751,"gb|KIS36590.1| hypothetical protein NTHI1209_00002 [Haemophilus influenzae]","6.82E-06","54","0.5","dbj|GER39135.1| mitochondrial protein [Striga asiatica]","0.000720119","49","0.53","E6PDN8","39.831","2.08E-07","E6PDN8_9ZZZZ","Uncharacterized protein {ECO:0000313|EMBL:CBH74573.1}","No_KEGG","No_KEGGKO","Pfam","No_GOcodes","No_GOBP","No_GOMF","No_GOCC","No_keywords"
"15","isogroup22300_Past",7636.97387035369,2.97989229819987,0.438733567654707,6.79203169734465,1.10565247136241e-11,2.68199699481909e-09,7636.97387035369,1.77083065165053,0.496303623157049,3.56803893629883,0.000359663067085093,0.0511297016168169,"isotig24032_Past","isotig24032_Past",344,"ref|XP_020601689.1| golgin subfamily B member 1-like [Orbicella faveolata] >ref|XP_020601690.1| golgin subfamily B member 1-like [Orbicella faveolata] >ref|XP_020601691.1| golgin subfamily B member 1-like [Orbicella faveolata]","3.62E-12","55","0.56","ref|XP_020601689.1| golgin subfamily B member 1-like [Orbicella faveolata] >ref|XP_020601690.1| golgin subfamily B member 1-like [Orbicella faveolata] >ref|XP_020601691.1| golgin subfamily B member 1-like [Orbicella faveolata]","3.62E-12","55","0.56","A0A3M6TQV6","57.895","1.63E-11","A0A3M6TQV6_POCDA","Uncharacterized protein {ECO:0000313|EMBL:RMX43770.1}","No_KEGG","No_KEGGKO","Pfam","No_GOcodes","No_GOBP","No_GOMF","No_GOCC","Coiled coil {ECO:0000256|SAM:Coils};Reference proteome {ECO:0000313|Proteomes:UP000275408}.;"
"16","isogroup09729_Past",486.520562098383,8.32528476228426,1.28621850138859,6.47268310422867,9.62777390477656e-11,2.17972801204141e-08,486.520562098383,9.8720502665765,1.49795393140366,6.59035639188575,4.38772029268982e-11,3.11879158404393e-08,"isotig11461_Past","isotig11461_Past",602,"ref|XP_027041723.1| histone RNA hairpin-binding protein-like isoform X2 [Pocillopora damicornis]","1.43E-41","129","0.81","ref|XP_027041723.1| histone RNA hairpin-binding protein-like isoform X2 [Pocillopora damicornis]","1.43E-41","129","0.81","Q9VAN6","52.381","1.92E-17","SLBP_DROME","Histone RNA hairpin-binding protein","dme:Dmel_CG11886","No_KEGGKO","PF15247; SLBP_RNA_bind","GO:0005737 // GO:0071204 // GO:0005634 // GO:0071207 // GO:0003729 // GO:0035613 // GO:1990825 // GO:0007076 // GO:0006398 // GO:0051028 // GO:0007275","mitotic chromosome condensation (GO:0007076);mRNA 3'-end processing by stem-loop binding and cleavage (GO:0006398);mRNA transport (GO:0051028);multicellular organism development (GO:0007275);","histone pre-mRNA stem-loop binding (GO:0071207);mRNA binding (GO:0003729);RNA stem-loop binding (GO:0035613);sequence-specific mRNA binding (GO:1990825);","cytoplasm (GO:0005737);histone pre-mRNA 3'end processing complex (GO:0071204);nucleus (GO:0005634);","3D-structure;Developmental protein;mRNA processing;Phosphoprotein;Reference proteome;RNA-binding.;"
"17","isogroup07761_Past",30969.4568949423,6.47948683323663,1.04514382517676,6.19961260560554,5.66023081419184e-10,1.20138399031222e-07,30969.4568949423,7.46019620371686,1.18257782085277,6.30841883905554,2.81900490373118e-10,1.00187434278606e-07,"isotig09493_Past","isotig09493_Past",696,"emb|CEE24891.1| hypothetical protein XAC908_1160001 [Xanthomonas citri pv. citri] >emb|CEJ48844.1| hypothetical protein XAB3213_4450024 [Xanthomonas citri pv. bilvae] >emb|CEE39458.1| hypothetical protein XAC3824_910001 [Xanthomonas citri pv. citri] >emb|CEE39488.1| hypothetical protein XAC9322_730001 [Xanthomonas citri pv. citri] >emb|CEE49112.1| hypothetical protein XAC2911_820001 [Xanthomonas citri pv. citri]","1.23E-43","151","0.61","emb|CRH27635.1| Putative secreted protein {ECO:0000313|EMBL:JAB01013.1} [Pantoea ananatis] >emb|CRH27683.1| Putative secreted protein {ECO:0000313|EMBL:JAB01013.1} [Pantoea ananatis] >emb|CRH28271.1| Putative secreted protein {ECO:0000313|EMBL:JAB01013.1} [Pantoea ananatis] >emb|CRH30489.1| Putative secreted protein {ECO:0000313|EMBL:JAB01013.1} [Pantoea ananatis] >emb|CRH31057.1| Putative secreted protein {ECO:0000313|EMBL:JAB01013.1} [Pantoea ananatis]","1.49E-28","96","0.69","A0A0V0GKN2","80.952","8.03E-35","A0A0V0GKN2_SOLCH","Putative ovule protein {ECO:0000313|EMBL:JAP08552.1}","No_KEGG","No_KEGGKO","Pfam","No_GOcodes","No_GOBP","No_GOMF","No_GOCC","No_keywords"
"18","isogroup03376_Past",185.167053727607,3.23246079874189,0.532385040369793,6.07165970797495,1.26594972591935e-09,2.52892074660124e-07,185.167053727607,2.86149575181757,0.601943796418489,4.7537590200999,1.99669010829464e-06,0.000443514790304946,"isotig05108_Past","isotig05108_Past",1114,"ref|XP_020613401.1| melanopsin-like [Orbicella faveolata]","1.16E-46","119","0.48","ref|XP_020613401.1| melanopsin-like [Orbicella faveolata]","1.16E-46","119","0.48","A0A3M6TV76","54.412","2.77E-35","A0A3M6TV76_POCDA","G_PROTEIN_RECEP_F1_2 domain-containing protein {ECO:0000259|PROSITE:PS50262}","No_KEGG","No_KEGGKO","PF00001; 7tm_1","GO:0016021 // GO:0004930","No_GOBP","G protein-coupled receptor activity (GO:0004930);","integral component of membrane (GO:0016021);","Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius};Reference proteome {ECO:0000313|Proteomes:UP000275408};Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius};Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,;ECO:0000256|SAM:Phobius}.;"
"19","isogroup08876_Past",29.2101937608358,3.65493377194487,0.628524577738225,5.8151007954173,6.05973612730785e-09,1.14327021601875e-06,29.2101937608358,2.45199748908154,0.697123968344327,3.51730481295177,0.000435952844197919,0.0588406313191586,"isotig10608_Past","isotig10608_Past",636,"gb|RMX43081.1| hypothetical protein pdam_00006899 [Pocillopora damicornis]","1.00E-28","99","0.63","ref|XP_022780918.1| follistatin-related protein 4-like [Stylophora pistillata]","6.57E-28","104","0.59","A0A3M6TP35","62.626","5.36E-29","A0A3M6TP35_POCDA","Uncharacterized protein {ECO:0000313|EMBL:RMX43081.1}","No_KEGG","No_KEGGKO","Pfam","No_GOcodes","No_GOBP","No_GOMF","No_GOCC","Reference proteome {ECO:0000313|Proteomes:UP000275408}.;"
"20","isogroup08435_Past",25.5804990165791,1.7156646865674,0.308843432586137,5.55512763279789,2.77408986340744e-08,4.95832061901667e-06,25.5804990165791,1.16004430716925,0.341644102203325,3.39547587588347,0.000685094109509299,0.0785427246837435,"isotig10167_Past","isotig10167_Past",665,"gb|MVT01074.1| actin, cytoplasmic 2 [Devosia marina]","1.81E-101","154","0.97","gb|MVT01074.1| actin, cytoplasmic 2 [Devosia marina]","1.81E-101","154","0.97","Q964E0","96.753","9.24E-103","ACTC_BIOTE","Actin, cytoplasmic","No_KEGG","No_KEGGKO","PF00022; Actin","GO:0005737 // GO:0005856 // GO:0005524","No_GOBP","ATP binding (GO:0005524);","cytoplasm (GO:0005737);cytoskeleton (GO:0005856);","Acetylation;ATP-binding;Cytoplasm;Cytoskeleton;Methylation;Nucleotide-binding;Oxidation.;"
"21","GE911328_Past",11.3771887297867,5.18682124679323,0.945905692998567,5.48344436996753,4.17123486719998e-08,7.08275680450556e-06,11.3771887297867,3.44702148541621,1.00262425199521,3.43799930887037,0.000586029194269015,0.0702883976761702,"GE911328_Past","GE911328_Past",743,"emb|VDM95317.1| unnamed protein product, partial [Onchocerca ochengi]","3.72E-154","220","1","gb|EFN76024.1| Ubiquitin [Harpegnathos saltator]","7.94E-154","220","1","P0CG60","98.182","2.83E-153","UBB_PONPY","Polyubiquitin-B","No_KEGG","No_KEGGKO","PF00240; ubiquitin","GO:0005737 // GO:0005634","No_GOBP","No_GOMF","cytoplasm (GO:0005737);nucleus (GO:0005634);","ADP-ribosylation;Cytoplasm;Isopeptide bond;Nucleus;Phosphoprotein;Repeat;Ubl conjugation.;"
"22","GE908397_Past",239.478199887397,4.16404617051817,0.761463704663726,5.46847623204455,4.5392091896522e-08,7.34054971812328e-06,239.478199887397,2.90763295611445,0.859672969740968,3.38225471598876,0.000718934492655227,0.0798466620905212,"GE908397_Past","GE908397_Past",538,"ref|XP_020625495.1| UPF0317 protein C14orf159, mitochondrial-like [Orbicella faveolata]","2.57E-35","122","0.57","ref|XP_020625495.1| UPF0317 protein C14orf159, mitochondrial-like [Orbicella faveolata]","2.57E-35","122","0.57","A0A3M6TX54","50.382","1.83E-33","A0A3M6TX54_POCDA","Uncharacterized protein {ECO:0000313|EMBL:RMX45995.1}","No_KEGG","No_KEGGKO","PF07286; DUF1445","GO:0016829","No_GOBP","lyase activity (GO:0016829);","No_GOCC","Lyase {ECO:0000256|ARBA:ARBA00023239};Reference proteome {ECO:0000313|Proteomes:UP000275408}.;"
"23","isogroup25216_Past",14.5033357264743,6.66991802578501,1.25725165074556,5.30515750114919,1.12575752332582e-07,1.73776024964295e-05,14.5033357264743,5.77289069008387,1.39693252571918,4.13254798195198,3.58763841257357e-05,0.00708359273238136,"isotig26948_Past","isotig26948_Past",300,"ref|XP_015762997.1| PREDICTED: smoothelin-like protein 1 [Acropora digitifera] >ref|XP_015762998.1| PREDICTED: smoothelin-like protein 1 [Acropora digitifera]","3.33E-07","32","0.75","ref|XP_029203878.1| smoothelin-like protein 1 isoform X1 [Acropora millepora]","6.43E-07","32","0.72","No_Uniprotmatch","No_%_identity","No_evalue","No_ID","No_Description","No_KEGG","No_KEGGKO","No_PFAM","No_GO","No_GOCC","No_GOBP","No_GOMF","No_keywords"
"24","isogroup06869_Past",17.8304525239395,3.6740757498705,0.766266916401477,4.79477277594679,1.62859322269881e-06,0.000221228103371406,17.8304525239395,3.14390926755887,0.862082373998644,3.64687802741668,0.000265445848151847,0.0428815701968939,"isotig08601_Past","isotig08601_Past",745,"No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_Uniprotmatch","No_%_identity","No_evalue","No_ID","No_Description","No_KEGG","No_KEGGKO","No_PFAM","No_GO","No_GOCC","No_GOBP","No_GOMF","No_keywords"
"25","isogroup18353_Past",22.0150572529198,4.98231532210875,1.05299618118665,4.73156067526668,2.22800199486205e-06,0.000280233139798205,22.0150572529198,5.48128627158177,1.23075453041271,4.45359828961484,8.44430244581818e-06,0.00176535593484928,"isotig20085_Past","isotig20085_Past",395,"ref|XP_027056873.1| uncharacterized protein LOC113683793 [Pocillopora damicornis]","5.85E-17","86","0.45","ref|XP_027056873.1| uncharacterized protein LOC113683793 [Pocillopora damicornis]","5.85E-17","86","0.45","A0A2B4SXI8","44.928","4.40E-08","A0A2B4SXI8_STYPI","Putative transposase-like protein {ECO:0000313|EMBL:PFX33813.1}","No_KEGG","No_KEGGKO","PF12762; DDE_Tnp_IS1595","No_GOcodes","No_GOBP","No_GOMF","No_GOCC","Reference proteome {ECO:0000313|Proteomes:UP000225706}.;"
"26","GCKDGN102EO064_Past",11.7662509246365,5.97016502322105,1.44356182467126,4.13571827765716,3.53846085613764e-05,0.00279456117847521,11.7662509246365,5.67330624313151,1.65178547547685,3.43465076268073,0.000593317931987931,0.0702883976761702,"GCKDGN102EO064_Past","GCKDGN102EO064_Past",149,"ref|XP_022796026.1| vam6/Vps39-like protein [Stylophora pistillata]","4.80E-21","48","0.96","ref|XP_022796026.1| vam6/Vps39-like protein [Stylophora pistillata]","4.80E-21","48","0.96","Q8R5L3","58.333","8.59E-10","VPS39_MOUSE","Vam6/Vps39-like protein","mmu:269338","No_KEGGKO","PF00780; CNH,  PF10366; Vps39_1,  PF10367; Vps39_2","GO:0005737 // GO:0030897 // GO:0005770 // GO:0031902 // GO:1902501 // GO:0005765 // GO:0016020 // GO:0061909 // GO:0006914 // GO:0032456 // GO:0034058 // GO:0008333 // GO:0006886 // GO:1902774","autophagosome-lysosome fusion (GO:0061909);autophagy (GO:0006914);endocytic recycling (GO:0032456);endosomal vesicle fusion (GO:0034058);endosome to lysosome transport (GO:0008333);intracellular protein transport (GO:0006886);late endosome to lysosome transport (GO:1902774);","No_GOMF","cytoplasm (GO:0005737);HOPS complex (GO:0030897);late endosome (GO:0005770);late endosome membrane (GO:0031902);lysosomal HOPS complex (GO:1902501);lysosomal membrane (GO:0005765);membrane (GO:0016020);","Alternative splicing;Autophagy;Cytoplasm;Endosome;Lysosome;Membrane;Protein transport;Reference proteome;Transport.;"
"27","GE916432_Past",22.5364846911363,2.19717544091607,0.535565728553073,4.10253181594001,4.08653639543417e-05,0.00308397279975432,22.5364846911363,2.39007213103759,0.612047284685239,3.9050449055856,9.42078899112215e-05,0.0167407420372241,"GE916432_Past","GE916432_Past",556,"No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_Uniprotmatch","No_%_identity","No_evalue","No_ID","No_Description","No_KEGG","No_KEGGKO","No_PFAM","No_GO","No_GOCC","No_GOBP","No_GOMF","No_keywords"
"28","GE906688_Past",13.9420876091425,2.13187802798326,0.532038037957126,4.00700302589091,6.1494075572984e-05,0.00426191593154803,13.9420876091425,2.24451066254407,0.610588953498487,3.67597653001044,0.000236941307018109,0.0400994954829694,"GE906688_Past","GE906688_Past",720,"No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_Uniprotmatch","No_%_identity","No_evalue","No_ID","No_Description","No_KEGG","No_KEGGKO","No_PFAM","No_GO","No_GOCC","No_GOBP","No_GOMF","No_keywords"
"29","isogroup00704_Past",136.638155906519,1.53111062303838,0.385697615698636,3.96971762520489,7.19578580764676e-05,0.00475784822098965,136.638155906519,1.50917454247626,0.435947630837813,3.46182531047571,0.000536525277785141,0.0681003870445854,"isotig01742_Past","isotig01742_Past",890,"ref|XP_020614073.1| soma ferritin-like isoform X6 [Orbicella faveolata]","5.58E-98","169","0.83","ref|XP_020614073.1| soma ferritin-like isoform X6 [Orbicella faveolata]","5.58E-98","169","0.83","P42577","69.643","2.50E-82","FRIS_LYMST","Soma ferritin","No_KEGG","No_KEGGKO","PF00210; Ferritin","GO:0005737 // GO:0008199 // GO:0004322 // GO:0006879 // GO:0006826","cellular iron ion homeostasis (GO:0006879);iron ion transport (GO:0006826);","ferric iron binding (GO:0008199);ferroxidase activity (GO:0004322);","cytoplasm (GO:0005737);","Cytoplasm;Iron;Iron storage;Metal-binding;Oxidoreductase.;"
"30","isogroup00704_Past",136.638155906519,1.53111062303838,0.385697615698636,3.96971762520489,7.19578580764676e-05,0.00475784822098965,136.638155906519,1.50917454247626,0.435947630837813,3.46182531047571,0.000536525277785141,0.0681003870445854,"isotig01743_Past","isotig01743_Past",822,"ref|XP_020614067.1| soma ferritin-like isoform X1 [Orbicella faveolata]","2.00E-109","170","0.89","ref|XP_020614067.1| soma ferritin-like isoform X1 [Orbicella faveolata]","2.00E-109","170","0.89","P42577","73.099","4.13E-89","FRIS_LYMST","Soma ferritin","No_KEGG","No_KEGGKO","PF00210; Ferritin","GO:0005737 // GO:0008199 // GO:0004322 // GO:0006879 // GO:0006826","cellular iron ion homeostasis (GO:0006879);iron ion transport (GO:0006826);","ferric iron binding (GO:0008199);ferroxidase activity (GO:0004322);","cytoplasm (GO:0005737);","Cytoplasm;Iron;Iron storage;Metal-binding;Oxidoreductase.;"
"31","GE905867_Past",35.6003116443207,1.47843383890567,0.406992847254227,3.63257941479786,0.000280602176976739,0.0127491781628003,35.6003116443207,1.85560208371665,0.464906678235242,3.99134314602751,6.57001360471894e-05,0.0122893833427216,"GE905867_Past","GE905867_Past",675,"No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_sig_nr_hit","No_Uniprotmatch","No_%_identity","No_evalue","No_ID","No_Description","No_KEGG","No_KEGGKO","No_PFAM","No_GO","No_GOCC","No_GOBP","No_GOMF","No_keywords"
